Epoch,Avg Train Loss,Avg Val Loss,Avg IoU Train,Avg IoU Val,Avg Pix Acc Train,Avg Pix Acc Val,Avg Dice Coeff Train,Avg Dice Coeff Val,Learning Rate
1,0.9698836207389832,0.9209634860356649,9.88228825064213e-13,4.924555651381674e-13,0.0,0.0,9.88228825064213e-13,4.924555651381674e-13,0.0001
2,0.9024429519971212,0.821531163321601,0.01690424989106447,0.0915277608566814,0.016085306803385418,0.09149424235026042,0.03234924044899335,0.1653204717569881,0.0001
3,0.8614499171574911,0.8158924380938212,0.06982627249736753,0.09152264065212673,0.06982026277627382,0.09152264065212673,0.1264887380724152,0.16531290693415535,0.0001
4,0.858481248219808,0.8156441317664253,0.07046254475911458,0.09152264065212673,0.07046254475911458,0.09152264065212673,0.129797524255183,0.16531290693415535,0.0001
5,0.8512216806411743,0.8157538175582886,0.07389110989040798,0.09152264065212673,0.07389110989040798,0.09152264065212673,0.13540079879264036,0.16531290693415535,0.0001
